lya;gps-punkt;position;altitud;datum;observation;distans;vinkel;obstyp;marktyp;antal högar;antal;kommentar;väder;spårsnö;;;;;;;;;;;
zz020;START020;6 979 244 373 084;1008 m;2018-04-18 08:35;START;;;;;;;;;;;;;;;;;;;;
zz020;F1;6 979 221 373 820;1086 m;2018-04-18 09:20;F;181;260;SE;B;;1;;vind, duggregn;korn;;;;;;;;;;;
zz020;RS1;6 979 219 373 852;1097 m;2018-04-18 09:31;RS;;;;B;1;7;;vind, duggregn;korn;;;;;;;;;;;
zz020;RS1;6 979 219 373 852;1097 m;2018-04-18 09:31;FV;101;10;;;;1;;vind, duggregn;korn;;;;;;;;;;;
zz020;RS2;6 979 219 373 939;1121 m;2018-04-18 09:40;RS;;;;;1;1;;vind, duggregn;korn;;;;;;;;;;;
zz020;L1;6 979 204 374 145;1156 m;2018-04-18 09:48;L;;;;;;;;vind, duggregn;korn;;;;;;;;;;;
zz020;RS3;6 979 208 374 147;1159 m;2018-04-18 09:59;RS;;;;B;1;15;gps = L1;vind, duggregn;korn;;;;;;;;;;;
zz020;L2;6 979 133 375 174;1034 m;2018-04-18 10:19;L;;;;;;;;vind, duggregn;korn;;;;;;;;;;;
zz020;F4;6 979 135 375 257;1022 m;2018-04-18 10:35;F;134;0;SE;BS;;;;vind, duggregn;korn;;;;;;;;;;;
zz020;RS4;6 979 160 375 810;966 m;2018-04-18 10:47;RS;;;;S;1;1;;vind, duggregn;korn;;;;;;;;;;;
zz020;L3;6 979 199 376 165;960 m;2018-04-18 10:55;L;;;;;;;;vind, duggregn;korn;;;;;;;;;;;
zz020;L4;6 979 540 377 111;962 m;2018-04-18 11:31;L;;;;;;;;vind, duggregn;korn;;;;;;;;;;;
zz020;L5;6 980 423 376 633;975 m;2018-04-18 12:26;L;;;;;;;;vind, duggregn;korn;;;;;;;;;;;
zz020;L5;6 980 423 376 633;975 m;2018-04-18 12:26;F;176;270;HSE;S;;2;;sol, vind;korn;;;;;;;;;;;
